,CPI (% change),Currency in Circulation (% change),Federal Funds Effective Rate (% change),Nominal GDP (% change),Real GDP (% change)
CPI (% change),1.0000000000000002,0.35442855194774725,0.06513413834374154,0.621928374471799,-0.13965699690067812
Currency in Circulation (% change),0.35442855194774725,1.0,-0.15118734723833935,0.19779695049811366,-0.10690916437264678
Federal Funds Effective Rate (% change),0.06513413834374154,-0.15118734723833935,0.9999999999999998,0.2658365187870416,0.30349211181552094
Nominal GDP (% change),0.621928374471799,0.19779695049811366,0.2658365187870416,1.0000000000000002,0.6573599601515827
Real GDP (% change),-0.13965699690067812,-0.10690916437264678,0.30349211181552094,0.6573599601515827,0.9999999999999999
