DATE,Nominal GDP,Real Gross Domestic Product,CPI,Currency in Circulation,Federal Funds Effective Rate
1960-03-31,542.648,3277.847,12.402767171412435,31.75,3.931318681318681
1960-06-30,541.08,3260.177,12.477304722164801,31.78333333333333,3.6950549450549453
1960-09-30,545.604,3276.133,12.484336566575399,32.13966666666666,2.9375
1960-12-31,540.197,3234.087,12.5644995928562,32.549,2.296195652173913
1961-03-31,545.018,3255.914,12.5898142327344,31.992,1.9875555555555555
1961-06-30,555.545,3311.181,12.585595126088032,32.05133333333333,1.7335164835164836
1961-09-30,567.664,3374.742,12.634818036962168,32.62233333333334,1.6793478260869565
1961-12-31,580.612,3440.924,12.653100832429766,33.345333333333336,2.3967391304347827
1962-03-31,594.013,3502.298,12.7023237433039,33.05433333333333,2.4583333333333335
1962-06-30,600.366,3533.947,12.750140285295965,33.388,2.607142857142857
1962-09-30,609.027,3577.362,12.786705876231101,33.984,2.845108695652174
1962-12-31,612.28,3589.128,12.817645991637699,34.64333333333333,2.9240217391304335
1963-03-31,621.672,3628.306,12.8584306892192,34.42066666666667,2.9656666666666665
1963-06-30,629.752,3669.02,12.882338960215234,34.95366666666667,2.9645054945054943
1963-09-30,644.444,3749.681,12.9610956176139,35.82633333333333,3.3265217391304343
1963-12-31,653.938,3774.264,12.996254839666932,36.785333333333334,3.451304347826087
1964-03-31,669.822,3853.835,13.049696857187435,36.617333333333335,3.4643956043956043
1964-06-30,678.674,3895.793,13.070792390419266,37.167,3.4879120879120875
1964-09-30,692.031,3956.657,13.100326136943766,38.059333333333335,3.4565217391304346
1964-12-31,697.319,3968.878,13.160799998874898,38.983000000000004,3.5751086956521734
1965-03-31,717.79,4064.915,13.201584696456365,38.817,3.9772222222222213
1965-06-30,730.191,4116.267,13.285966829383533,39.156666666666666,4.079450549450547
1965-09-30,749.323,4207.782,13.325345158082902,40.14366666666667,4.077499999999998
1965-12-31,771.857,4304.731,13.395663602188899,41.41866666666667,4.170760869565215
1966-03-31,795.734,4409.518,13.520830432697501,41.40766666666667,4.5589999999999975
1966-06-30,804.981,4424.581,13.643184525441933,41.929,4.913736263736262
1966-09-30,819.638,4462.053,13.761319511539966,42.89633333333333,5.410652173913042
1966-12-31,833.302,4498.66,13.873829022109499,43.79566666666667,5.559782608695652
1967-03-31,844.17,4538.498,13.9089882441625,43.72966666666667,4.819444444444445
1967-06-30,848.983,4541.28,13.993370377089699,44.14066666666667,3.992307692307692
1967-09-30,865.233,4584.246,14.134007265301634,45.065,3.891847826086956
1967-12-31,881.439,4618.812,14.2887078423348,46.09766666666667,4.172826086956521
1968-03-31,909.387,4713.013,14.429344730546768,46.13566666666667,4.792637362637362
1968-06-30,934.344,4791.758,14.569981618758698,46.989,5.984285714285712
1968-09-30,950.825,4828.892,14.766873262255436,48.244,5.946521739130433
1968-12-31,968.03,4847.885,14.949701216930999,49.547666666666665,5.918152173913042
1969-03-31,993.337,4923.76,15.132529171606533,49.483000000000004,6.567444444444442
1969-06-30,1009.02,4938.728,15.371611881566865,50.11433333333334,8.332527472527472
1969-09-30,1029.956,4971.349,15.5825672138848,51.339666666666666,8.98108695652174
1969-12-31,1038.147,4947.104,15.821649923845134,52.58066666666667,8.941630434782608
1970-03-31,1051.2,4939.759,16.074796322626636,52.419999999999995,8.55888888888889
1970-06-30,1067.375,4946.77,16.2998153437658,53.49366666666666,7.883296703296702
1970-09-30,1086.059,4992.357,16.4685796096201,54.79866666666667,6.711086956521737
1970-12-31,1088.608,4938.857,16.707662319580432,55.98,5.568260869565216
1971-03-31,1135.156,5072.996,16.8482992077924,56.022999999999996,3.8627777777777763
1971-06-30,1156.271,5100.447,17.00299978482557,57.279999999999994,4.567252747252746
1971-09-30,1177.675,5142.422,17.1717640506799,58.921,5.475543478260868
1971-12-31,1190.297,5154.547,17.298337250070702,60.06333333333333,4.747608695652173
1972-03-31,1230.609,5249.337,17.4389741382826,60.01666666666666,3.5490109890109873
1972-06-30,1266.369,5368.485,17.5514836488522,61.25866666666667,4.301428571428571
1972-09-30,1290.566,5419.184,17.692120537064167,62.76833333333334,4.74141304347826
1972-12-31,1328.904,5509.926,17.8749484917397,64.65966666666667,5.145543478260869
1973-03-31,1377.49,5646.286,18.1562222681636,64.97533333333332,6.53822222222222
1973-06-30,1413.887,5707.755,18.535941866335865,66.79666666666667,7.818461538461538
1973-09-30,1433.838,5677.738,18.901597775686934,68.46666666666668,10.557717391304351
1973-12-31,1476.289,5731.632,19.379763195607634,70.18566666666668,9.996739130434785
1974-03-31,1491.209,5682.353,19.956374437276633,70.84100000000001,9.333777777777781
1974-06-30,1530.056,5695.859,20.490794612482066,72.95866666666667,11.251318681318681
1974-09-30,1560.026,5642.025,21.0674058541511,74.83233333333334,12.098586956521743
1974-12-31,1599.679,5620.126,21.7143355399261,77.24833333333333,9.344347826086954
1975-03-31,1616.116,5551.713,22.17843727102557,77.55900000000001,6.305333333333333
1975-06-30,1651.853,5591.382,22.445647358628268,79.50566666666667,5.41846153846154
1975-09-30,1709.82,5687.087,22.89568540090657,81.93066666666665,6.155869565217388
1975-12-31,1761.831,5763.665,23.317596065542432,84.05166666666668,5.411195652173912
1976-03-31,1820.487,5893.276,23.5848061531451,84.58833333333332,4.826483516483516
1976-06-30,1852.332,5936.515,23.79576148546307,87.44266666666665,5.195384615384616
1976-09-30,1886.558,5969.089,24.175481083635333,89.529,5.283478260869565
1976-12-31,1934.273,6012.356,24.52707330416523,91.91233333333332,4.874239130434785
1977-03-31,1988.648,6083.391,24.977111346443497,92.33666666666666,4.66066666666667
1977-06-30,2055.909,6201.659,25.413085699900567,95.04066666666667,5.157472527472529
1977-09-30,2118.473,6313.559,25.76467792043047,97.746,5.816413043478258
1977-12-31,2164.27,6313.697,26.144397518602734,100.759,6.511304347826085
1978-03-31,2202.76,6333.848,26.594435560881,101.71833333333332,6.759555555555551
1978-06-30,2331.633,6578.605,27.1991741801924,104.40100000000001,7.282637362637367
1978-09-30,2395.053,6644.754,27.8320401771462,107.39299999999999,8.094782608695649
1978-12-31,2476.949,6734.069,28.478969862921232,111.04366666666665,9.577826086956529
1979-03-31,2526.61,6746.176,29.1962179928022,111.71066666666667,10.073222222222224
1979-06-30,2591.247,6753.389,30.124421455001098,114.55233333333332,10.181978021978013
1979-09-30,2667.565,6803.558,31.094815983663597,118.47433333333333,10.940108695652171
1979-12-31,2723.883,6820.572,32.07927420114729,121.83066666666667,13.580217391304348
1980-03-31,2789.842,6842.024,33.345006195054935,122.48366666666668,15.065274725274726
1980-06-30,2797.352,6701.046,34.4701013007506,125.11166666666668,12.668901098901095
1980-09-30,2856.483,6693.082,35.1170309865256,129.22666666666666,9.823152173913048
1980-12-31,2985.557,6817.903,36.101489204009305,133.34866666666667,15.852826086956524
1981-03-31,3124.206,6951.495,37.1000111103142,133.05066666666667,16.595555555555563
1981-06-30,3162.532,6899.98,37.8735139954799,136.16366666666667,17.78692307692307
1981-09-30,3260.609,6982.609,38.928290657069596,139.05033333333333,17.594347826086967
1981-12-31,3280.818,6906.529,39.5611566540234,141.615,13.58836956521739
1982-03-31,3274.302,6799.233,39.9127488745533,142.04966666666667,14.207444444444453
1982-06-30,3331.972,6830.251,40.4893601162223,145.68433333333334,14.514175824175814
1982-09-30,3366.322,6804.139,41.192544557282105,149.28366666666668,11.012717391304346
1982-12-31,3402.561,6806.857,41.31911775667283,152.7733333333333,9.283913043478263
1983-03-31,3473.413,6896.561,41.34724513431524,153.83966666666666,8.657555555555556
1983-06-30,3578.848,7053.5,41.82541055423593,158.74166666666667,8.802747252747249
1983-09-30,3689.179,7194.504,42.23325753005057,162.79966666666667,9.458152173913044
1983-12-31,3794.706,7344.597,42.65516819468643,167.25533333333334,9.43010869565217
1984-03-31,3908.054,7488.167,43.25990681399787,168.39566666666667,9.68857142857143
1984-06-30,4009.601,7617.547,43.66775378981254,172.42600000000002,10.554725274725273
1984-09-30,4084.25,7690.985,44.04747338798484,176.34900000000002,11.392282608695648
1984-12-31,4148.551,7754.117,44.4271929861571,178.75166666666667,9.262499999999996
