DATE,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16
1959-03-31,4.495392000004358,1.22724324324372,0.000392846314296591,2.404788897503174e-05,0.07512507610454122,0.27518315377119507,8.808741731569647e-05,0.0014389960492700027,1.0327722841643391e-07,0.00032263578947366867,1.9749987112765988e-05,6.322063443703319e-09,1.7259250460559782e-09,5.391751873536077e-06,8.807965860602174e-05,2.8194711552389975e-08
1959-06-30,0.2937976666580653,0.07899910369997087,2.4730273767481492e-05,1.5115380335717354e-06,0.004828500929079382,0.017957194955215527,5.621409946865441e-06,9.197188813914181e-05,6.5444891940609484e-09,2.0905906071622127e-05,1.2777890148474302e-06,4.0000545162689836e-10,1.0755726045458226e-10,3.435840319546135e-07,5.6213783466985134e-06,1.7597443383119554e-09
1959-09-30,6.54507466666837,1.7641710691823391,0.000551875512580402,3.360177256339636e-05,0.10741421512329907,0.398506738107244,0.00012466257621013277,0.0020474581516758406,1.4466261081071997e-07,0.0004624405087141348,2.8156387525235527e-05,8.808001145324952e-09,2.374124297928505e-09,7.589322783080332e-06,0.0001246470373892361,3.899261746917893e-08
1959-12-31,6.235356666657026,1.6543795878624223,0.0005160598753706225,3.129722089695308e-05,0.1003323177793618,0.3781525057102044,0.00011795922556068206,0.0019450296702707703,1.3866656394510325e-07,0.0004445358840294844,2.6959541756910177e-05,8.409640605552349e-09,2.2312657483603557e-09,7.1529694234337415e-06,0.0001179453128229424,3.6791340924670866e-08
1960-03-31,2.452914999994391,0.6323575663827796,0.00019291857319281291,1.165319076967819e-05,0.03819737640492349,0.14816762307418685,4.5202726995485776e-05,0.0007483311454130614,5.349043212380701e-08,0.00017533345246567578,1.0590966624340892e-05,3.2310741240616217e-09,8.329657447936323e-10,2.730334267682377e-06,4.520068380142739e-05,1.3789747905080911e-08
1960-06-30,-0.1976690000083181,-0.05099819401766581,-1.564276848053936e-05,-9.425057830303452e-07,-0.003072735676141747,-0.0119099234807436,-3.65315241490638e-06,-6.063137062994883e-05,-4.34322139190868e-09,-1.4159670487678966e-05,-8.531463811245477e-07,-2.6168713573306805e-10,-6.75147409021624e-11,-2.2011000545135717e-07,-3.653165760564292e-06,-1.1205421547783902e-09
1960-09-30,-4.238982000002579,-1.0947784090913046,-0.0003341678769110956,-2.0065322259676943e-05,-0.06573666441045134,-0.25453236459725304,-7.769292778936343e-05,-0.001293898019401496,-9.183094530889474e-08,-0.00030085039034766226,-1.8064752632857006e-05,-5.5140473945598225e-09,-1.424082488264949e-09,-4.665483634522238e-06,-7.769896444931312e-05,-2.371666975954428e-08
1960-12-31,4.7115056666661985,1.228234011123277,0.00037977766557339976,2.2737093071545367e-05,0.07353373712044231,0.28207541559413585,8.72194890224609e-05,0.0014568271251427234,1.0344334616402967e-07,0.0003345447810652047,2.002902359249381e-05,6.1930998122356655e-09,1.6144681470920167e-09,5.221330446419925e-06,8.721188244653622e-05,2.6966461460858036e-08
1961-03-31,3.742220666666981,0.971752964596817,0.00029845781080162226,1.7830086074477336e-05,0.058053226871265906,0.22356297668102343,6.866366147306735e-05,0.0011493610293946688,8.120779764917915e-08,0.0002644056052751864,1.5795782619926202e-05,4.851412727723361e-09,1.2597799864242807e-09,4.1017352947203545e-06,6.86589470982879e-05,2.1087457192751902e-08
1961-06-30,3.235181999989436,0.8301724403354456,0.00025071792823627703,1.4943254752430857e-05,0.04947982121450423,0.19282286327279508,5.8233863770240646e-05,0.0009770477663373356,6.853269345357023e-08,0.0002269241524426313,1.3525101468736533e-05,4.084675971728147e-09,1.0481590894843374e-09,3.4706444620863364e-06,5.8230472784859266e-05,1.758601320340017e-08
